,player_id,Season,Date,Left,Joined,MV,Fee
5123,242273,20/21,"Jul1,2020",LiverpoolU23,FCNantes,€650k,freetransfer
5124,242273,18/19,"Jun30,2019",Extremadura,LiverpoolU23,€800k,Endofloan
5125,242273,18/19,"Jan31,2019",LiverpoolU23,Extremadura,€750k,loantransfer
5126,242273,17/18,"Jun30,2018",WillemII,LiverpoolU23,€750k,Endofloan
5127,242273,17/18,"Jul26,2017",LiverpoolU23,WillemII,€500k,loantransfer
5128,242273,16/17,"Jun30,2017",GoAheadEagles,LiverpoolU23,€500k,Endofloan
5129,242273,16/17,"Jan6,2017",LiverpoolU23,GoAheadEagles,€100k,loantransfer
5130,242273,15/16,"Jul1,2015",LiverpoolU18,LiverpoolU21,-,-
5131,830265,21/22,"Jul1,2021",FCNantesU19,FCNantesB,-,-
5132,830265,19/20,"Jul1,2019",FCNantesU17,FCNantesU19,-,-
5133,182889,21/22,"Jun30,2022",FCNantes,Parma,€4.50m,Endofloan
5134,182889,21/22,"Jul2,2021",Parma,FCNantes,€6.00m,loantransfer
5135,182889,21/22,"Jul1,2021",OGCNice,Parma,€6.00m,€7.65m
5136,182889,20/21,"Jun30,2021",Parma,OGCNice,€6.00m,Endofloan
5137,182889,20/21,"Oct5,2020",OGCNice,Parma,€14.50m,Loanfee:€1.50m
5138,182889,16/17,"Jul27,2016",Lens,OGCNice,€2.50m,€5.00m
5139,353403,20/21,"Jun30,2021",FortunaSittard,FCNantes,€750k,Endofloan
5140,353403,20/21,"Oct6,2020",FCNantes,FortunaSittard,€2.20m,loantransfer
5141,353403,17/18,"Sep6,2017",FCNantesB,FCNantes,-,-
5142,353403,16/17,"Jul1,2016",Olymp.LyonB,FCNantesB,-,freetransfer
5143,855158,21/22,"Jul1,2021",FCNantesU19,FCNantesB,-,-
5144,855158,19/20,"Jul1,2019",FCNantesU17,FCNantesU19,-,-
5145,855158,18/19,"Jul1,2018",NantesYouth,FCNantesU17,-,-
5146,855158,16/17,"Jul1,2016",ASBondyYouth,NantesYouth,-,freetransfer
5147,288225,19/20,"Sep2,2019",Guingamp,FCNantes,€5.00m,€8.00m
5148,288225,15/16,"Jul1,2015",EAGuingampB,Guingamp,-,-
5149,243737,19/20,"Dec4,2019",FCNantesB,FCNantes,€100k,-
5150,243737,17/18,"Aug8,2017",ParisSGB,FCNantesB,€100k,freetransfer
5151,243737,16/17,"Jan1,2017",ToursFC,ParisSGB,€150k,Endofloan
5152,243737,16/17,"Aug31,2016",ParisSGB,ToursFC,€150k,loantransfer
5153,243737,15/16,"Jun30,2016",ParisFC,ParisSGB,€150k,Endofloan
5154,243737,15/16,"Jan25,2016",ParisSGB,ParisFC,-,loantransfer
5155,773795,21/22,"Jul1,2021",FCNantesB,FCNantes,€400k,-
5156,773795,20/21,"Jul1,2020",FCNantesU19,FCNantesB,-,-
5157,773795,19/20,"Jul1,2019",FCNantesU17,FCNantesU19,-,-
5158,274862,20/21,"Jul1,2020",Levante,FCNantes,€6.50m,€5.00m
5159,274862,19/20,"Jun30,2020",FCNantes,Levante,€6.50m,Endofloan
5160,274862,19/20,"Aug15,2019",Levante,FCNantes,€3.00m,loantransfer
5161,274862,18/19,"Aug6,2018",KAAGent,Levante,€6.00m,€3.50m
5162,463620,21/22,"Jun30,2022",FCNantes,Monaco,€4.00m,Endofloan
5163,463620,21/22,"Aug31,2021",Monaco,FCNantes,€6.00m,loantransfer
5164,463620,18/19,"Jul1,2018",OlympiqueLyon,Monaco,€6.00m,€20.00m
