,player_id,season,Age,Competition,Club,club_id,position_group,New_season,Squad,Appearances,club_clean_sheet,player_clean_sheet,Goals conceded,PPG,Assists,Penalty goals,market_value
372,576033,2021,18,Ligue 1,Stade Rennais FC,273,Goalkeeper,False,19,12,14,4,13,1.58,0,0,3500000.0
373,685086,2021,18,Ligue 1,Stade Rennais FC,273,Goalkeeper,False,7,0,14,0,0,0.0,0,0,400000.0
378,24112,2020,35,Bundesliga,Hertha BSC,44,Goalkeeper,False,26,8,9,1,13,0.88,0,0,500000.0
381,453737,2020,19,Bundesliga,Hertha BSC,44,Goalkeeper,False,1,0,9,0,0,0.0,0,0,125000.0
382,27807,2017,31,Serie A,Inter Milan,46,Goalkeeper,True,38,0,17,0,0,0.0,0,0,800000.0
384,27807,2018,32,Serie A,Inter Milan,46,Goalkeeper,False,38,0,17,0,0,0.0,0,0,800000.0
385,28021,2018,33,Serie A,Inter Milan,46,Goalkeeper,False,38,38,17,17,33,1.82,0,0,6000000.0
386,79422,2021,34,Ligue 1,Paris Saint-Germain,583,Goalkeeper,False,32,21,15,9,18,2.14,0,0,8000000.0
387,93730,2021,30,Ligue 1,Paris Saint-Germain,583,Goalkeeper,False,4,1,15,1,0,3.0,0,0,400000.0
390,606576,2021,18,Ligue 1,Paris Saint-Germain,583,Goalkeeper,False,1,0,15,0,0,0.0,0,0,250000.0
393,40423,2018,35,Premier League,Manchester City,281,Goalkeeper,False,2,0,20,0,0,0.0,0,0,2500000.0
396,228975,2021,26,Ligue 1,Olympique Lyon,1041,Goalkeeper,False,35,6,11,2,6,1.83,0,0,800000.0
397,461581,2021,22,Ligue 1,Olympique Lyon,1041,Goalkeeper,False,3,0,11,0,0,0.0,0,0,250000.0
399,77383,2021,38,Ligue 1,RC Strasbourg Alsace,667,Goalkeeper,False,34,1,14,1,0,3.0,0,0,200000.0
402,27486,2020,33,Premier League,Leeds United,399,Goalkeeper,False,34,3,12,1,2,2.0,0,0,800000.0
406,130388,2021,29,Serie A,Udinese Calcio,410,Goalkeeper,True,3,0,8,0,0,0.0,0,0,50000.0
407,238993,2021,25,Serie A,Udinese Calcio,410,Goalkeeper,False,2,0,8,0,0,0.0,0,0,600000.0
408,487828,2021,19,Serie A,Udinese Calcio,410,Goalkeeper,False,17,0,8,0,0,0.0,0,0,200000.0
413,28356,2020,32,Ligue 1,FC Nantes,995,Goalkeeper,False,37,0,5,0,0,0.0,0,0,250000.0
416,282028,2021,25,Ligue 1,FC Nantes,995,Goalkeeper,True,18,0,8,0,0,0.0,0,0,800000.0
418,80894,2017,26,Serie A,AS Roma,12,Goalkeeper,False,38,1,18,1,0,3.0,0,0,7000000.0
423,187624,2020,25,Bundesliga,VfB Stuttgart,79,Goalkeeper,False,34,1,5,0,1,3.0,0,0,500000.0
426,120629,2019,26,Ligue 1,Paris Saint-Germain,583,Goalkeeper,False,4,3,14,2,2,2.0,0,0,13000000.0
427,207302,2019,25,Ligue 1,Paris Saint-Germain,583,Goalkeeper,True,23,2,14,0,4,3.0,0,0,8000000.0
428,207302,2019,25,Ligue 1,Paris Saint-Germain,583,Goalkeeper,True,23,2,14,0,4,3.0,0,0,8000000.0
429,460626,2019,19,Ligue 1,Paris Saint-Germain,583,Goalkeeper,False,1,0,14,0,0,0.0,0,0,150000.0
432,192279,2021,26,Premier League,Chelsea FC,631,Goalkeeper,False,38,4,16,2,2,1.75,0,0,10000000.0
436,29712,2018,31,Premier League,Wolverhampton Wanderers,543,Goalkeeper,False,37,1,10,1,0,3.0,0,0,3000000.0
439,29712,2019,32,Premier League,Wolverhampton Wanderers,543,Goalkeeper,False,38,0,13,0,0,0.0,0,0,2000000.0
441,29712,2020,33,Premier League,Wolverhampton Wanderers,543,Goalkeeper,False,38,2,11,1,1,0.0,0,0,800000.0
446,444641,2021,19,Premier League,Wolverhampton Wanderers,543,Goalkeeper,False,9,0,11,0,0,0.0,0,0,200000.0
449,71271,2018,31,Premier League,West Ham United,379,Goalkeeper,False,38,0,7,0,0,0.0,0,0,3500000.0
450,29692,2021,36,Premier League,West Ham United,379,Goalkeeper,False,37,37,8,8,50,1.51,0,0,1000000.0
453,71271,2017,30,Premier League,West Ham United,379,Goalkeeper,False,38,19,6,6,29,1.42,0,0,5000000.0
454,77825,2021,32,Serie A,Torino FC,416,Goalkeeper,True,36,10,9,4,8,1.3,0,0,800000.0
457,652920,2021,18,Serie A,Torino FC,416,Goalkeeper,False,2,0,9,0,0,0.0,0,0,100000.0
461,110925,2021,29,Serie A,Bologna FC 1909,1025,Goalkeeper,False,38,2,14,1,2,2.0,0,0,600000.0
466,256996,2017,21,Serie A,SS Lazio,398,Goalkeeper,False,38,0,11,0,0,0.0,0,0,300000.0
469,48870,2019,30,Premier League,Everton FC,29,Goalkeeper,True,13,0,9,0,0,0.0,0,0,3200000.0
472,75458,2020,30,Premier League,Everton FC,29,Goalkeeper,False,28,7,12,2,9,1.29,0,0,3000000.0
473,75458,2020,30,Premier League,Everton FC,29,Goalkeeper,False,28,7,12,2,9,1.29,0,0,3000000.0
478,341043,2020,22,Premier League,Southampton FC,180,Goalkeeper,False,2,0,9,0,0,0.0,0,0,200000.0
480,258267,2018,21,Ligue 1,LOSC Lille,1082,Goalkeeper,False,34,0,15,0,0,0.0,0,0,500000.0
482,288415,2019,24,Ligue 1,LOSC Lille,1082,Goalkeeper,False,28,0,12,0,0,0.0,0,0,3200000.0
484,427568,2017,19,Premier League,AFC Bournemouth,989,Goalkeeper,False,1,0,6,0,0,0.0,0,0,500000.0
487,125350,2021,31,Ligue 1,ESTAC Troyes,1095,Goalkeeper,False,19,0,9,0,0,0.0,0,0,250000.0
489,34130,2020,34,Premier League,Aston Villa,405,Goalkeeper,False,23,0,15,0,0,0.0,0,0,1000000.0
499,309397,2020,21,Bundesliga,Bayer 04 Leverkusen,15,Goalkeeper,False,20,4,10,1,7,0.75,0,0,1500000.0
501,85543,2021,27,Bundesliga,Bayer 04 Leverkusen,15,Goalkeeper,False,14,0,8,0,0,0.0,0,0,250000.0
502,112541,2021,29,Bundesliga,Bayer 04 Leverkusen,15,Goalkeeper,False,24,1,8,0,1,3.0,0,0,2500000.0
505,59238,2018,30,Bundesliga,Borussia Dortmund,16,Goalkeeper,True,33,2,10,0,4,3.0,0,0,2500000.0
507,59238,2019,31,Bundesliga,Borussia Dortmund,16,Goalkeeper,False,31,4,16,3,1,2.5,0,0,2000000.0
510,59238,2020,32,Bundesliga,Borussia Dortmund,16,Goalkeeper,False,31,16,12,8,16,2.19,0,0,1700000.0
511,388067,2020,21,Bundesliga,Borussia Dortmund,16,Goalkeeper,False,5,0,12,0,0,0.0,0,0,250000.0
514,59238,2021,33,Bundesliga,Borussia Dortmund,16,Goalkeeper,False,33,5,8,0,12,1.2,0,0,1000000.0
517,388815,2021,20,Bundesliga,Borussia Dortmund,16,Goalkeeper,False,2,0,8,0,0,0.0,0,0,1500000.0
519,238993,2020,24,Serie A,Udinese Calcio,410,Goalkeeper,False,35,1,9,0,2,0.0,0,0,800000.0
521,487828,2020,18,Serie A,Udinese Calcio,410,Goalkeeper,False,35,1,9,1,0,0.0,0,0,300000.0
525,251299,2021,23,Bundesliga,1.FSV Mainz 05,39,Goalkeeper,False,30,2,10,0,3,2.0,0,0,1500000.0
527,68410,2018,24,Bundesliga,SV Werder Bremen,86,Goalkeeper,False,17,1,0,0,1,3.0,0,0,1000000.0
528,41323,2020,33,Bundesliga,1.FC Union Berlin,89,Goalkeeper,True,31,31,8,5,42,1.45,0,0,900000.0
530,203411,2020,26,Bundesliga,1.FC Union Berlin,89,Goalkeeper,False,3,0,8,0,0,0.0,0,0,250000.0
531,51977,2021,33,Bundesliga,VfL Wolfsburg,82,Goalkeeper,False,34,6,11,1,14,0.5,0,0,600000.0
533,192268,2021,25,Bundesliga,VfL Wolfsburg,82,Goalkeeper,False,6,0,11,0,0,0.0,0,0,100000.0
534,41323,2021,34,Bundesliga,1.FC Union Berlin,89,Goalkeeper,False,30,27,8,6,39,1.48,0,0,800000.0
539,127217,2020,29,Serie A,Hellas Verona,276,Goalkeeper,False,37,1,8,1,0,1.0,0,0,50000.0
540,371013,2020,20,Serie A,Hellas Verona,276,Goalkeeper,False,38,4,8,0,6,0.75,0,0,1000000.0
544,371013,2021,21,Serie A,Hellas Verona,276,Goalkeeper,False,23,3,4,0,6,1.0,0,0,1000000.0
545,488270,2021,17,Serie A,Hellas Verona,276,Goalkeeper,False,2,0,4,0,0,0.0,0,0,75000.0
550,95976,2017,27,Premier League,Southampton FC,180,Goalkeeper,False,37,18,8,4,26,0.94,0,0,2500000.0
551,52570,2018,30,Premier League,Southampton FC,180,Goalkeeper,False,5,1,7,0,3,0.0,0,0,8000000.0
556,201574,2019,23,Premier League,Southampton FC,180,Goalkeeper,False,38,10,9,2,25,0.8,0,0,6500000.0
557,341043,2019,21,Premier League,Southampton FC,180,Goalkeeper,False,1,0,9,0,0,0.0,0,0,200000.0
559,256996,2018,22,Serie A,SS Lazio,398,Goalkeeper,False,33,1,10,0,3,1.0,0,0,300000.0
563,195778,2017,20,Bundesliga,FC Schalke 04,33,Goalkeeper,False,34,1,1,1,0,3.0,0,0,500000.0
567,146714,2020,27,Bundesliga,FC Augsburg,167,Goalkeeper,False,34,0,7,0,0,0.0,0,0,1500000.0
569,146714,2021,28,Bundesliga,FC Augsburg,167,Goalkeeper,False,32,0,9,0,0,0.0,0,0,1000000.0
571,42744,2021,32,Serie A,FC Empoli,749,Goalkeeper,True,35,0,7,0,0,0.0,0,0,200000.0
572,146799,2021,29,Serie A,FC Empoli,749,Goalkeeper,False,2,0,7,0,0,0.0,0,0,1200000.0
576,691529,2021,17,Serie A,FC Empoli,749,Goalkeeper,False,1,0,7,0,0,0.0,0,0,75000.0
