Unnamed: 0,player_id,Season,Date,Left,Joined,MV,Fee
1752,207597,20/21,"Aug1,2020",FCSchalke04,UnionBerlin,€1.20m,freetransfer
1753,207597,19/20,"Jun30,2020",Hannover96,FCSchalke04,€1.20m,Endofloan
1754,207597,19/20,"Jul2,2019",FCSchalke04,Hannover96,€1.50m,Loanfee:€500k
1755,207597,17/18,"Jan3,2018",1.FCNuremberg,FCSchalke04,€800k,€1.00m
1756,117432,21/22,"Jul1,2021",SVSandhausen,UnionBerlin,€900k,freetransfer
1757,117432,18/19,"Jul1,2018",Saarbrücken,SVSandhausen,€200k,freetransfer
1758,117432,15/16,"Jan27,2016",RWEssen,Saarbrücken,€125k,freetransfer
1759,117432,15/16,"Jul1,2015",Alem.Aachen,RWEssen,€150k,freetransfer
1760,142281,19/20,"Jul1,2019",1.FSVMainz05,UnionBerlin,€1.50m,€2.00m
1761,142281,17/18,"Jan1,2018",LiaoningFC,1.FSVMainz05,€3.00m,€3.80m
1762,142281,16/17,"Jul7,2016",WerderBremen,LiaoningFC,€5.50m,€11.50m
1763,142281,15/16,"Jul1,2015",1.FCKöln,WerderBremen,€4.50m,€4.50m
1764,356118,20/21,"Jun30,2021",E.Braunschweig,UnionBerlin,€500k,Endofloan
1765,356118,20/21,"Aug16,2020",UnionBerlin,E.Braunschweig,€1.40m,loantransfer
1766,356118,19/20,"Jul1,2019",E.Braunschweig,UnionBerlin,€2.00m,€500k
1767,356118,18/19,"Jun30,2019",UnionBerlin,E.Braunschweig,€2.00m,Endofloan
1768,356118,18/19,"Aug21,2018",E.Braunschweig,UnionBerlin,€1.50m,Loanfee:€700k
1769,356118,16/17,"Jul1,2016",Viking,E.Braunschweig,€700k,€975k
1770,160929,21/22,"Jul1,2021",BröndbyIF,1.FCKöln,€1.00m,freetransfer
1771,160929,18/19,"Jul1,2018",TSGHoffenheim,BröndbyIF,€700k,€700k
1772,160929,17/18,"Jun30,2018",DynamoDresden,TSGHoffenheim,€700k,Endofloan
1773,160929,16/17,"Jul1,2016",TSGHoffenheim,DynamoDresden,€450k,loantransfer
1774,160929,15/16,"Jun30,2016",VfLOsnabrück,TSGHoffenheim,€450k,Endofloan
1775,160929,15/16,"Jul6,2015",TSGHoffenheim,VfLOsnabrück,€250k,loantransfer
1776,607720,20/21,"Jul1,2020",1.FCKölnU17,1.FCKölnU19,-,-
1777,607720,19/20,"Jul1,2019",1.FCKölnYth.,1.FCKölnU17,-,-
1778,227089,21/22,"Mar8,2022",1.FCKölnII,1.FCKöln,€10k,-
1779,227089,20/21,"Jul1,2020",FC08Homburg,1.FCKölnII,€50k,freetransfer
1780,227089,19/20,"Jul1,2019",1.FCHeidenheim,FC08Homburg,€100k,freetransfer
1781,227089,17/18,"Jul1,2017",HoffenheimII,1.FCHeidenheim,€25k,freetransfer
1782,227089,16/17,"Jul1,2016",HoffenheimU19,HoffenheimII,-,-
1783,236981,21/22,"Jul1,2021",Hannover96,1.FCKöln,€1.80m,freetransfer
1784,236981,16/17,"Jul1,2016",1.FCKölnII,Hannover96,€75k,freetransfer
1785,236981,15/16,"Jul1,2015",Hannover96U19,1.FCKölnII,€50k,freetransfer
1786,286779,21/22,"Jan18,2022",1.FCKöln,América,€2.50m,€900k
1787,286779,17/18,"Jul20,2017",SportingGijón,1.FCKöln,€6.00m,€7.00m
1788,286779,15/16,"Jul1,2015",SportingB,SportingGijón,€400k,-
1789,303219,21/22,"Jan26,2022",Sampdoria,1.FCKöln,€2.80m,Loanfee:€300k
1790,303219,20/21,"Jun30,2021",SpeziaCalcio,Sampdoria,€3.00m,Endofloan
1791,303219,20/21,"Sep24,2020",Sampdoria,SpeziaCalcio,€3.10m,Loanfee:€200k
1792,303219,19/20,"Jul1,2019",FCGroningen,Sampdoria,€3.50m,€3.70m
1793,303219,18/19,"Jul16,2018",SpartaR.,FCGroningen,€500k,€1.20m
1794,303219,17/18,"Jul1,2017",RBLeipzigU19,SpartaR.,€200k,freetransfer
1795,303219,15/16,"Jul1,2015",RBLeipzigU17,RBLeipzigU19,-,-
1796,84150,21/22,"Jan2,2022",1.FCKöln,Chicago,€1.30m,€455k
1797,84150,18/19,"Jul1,2018",HolsteinKiel,1.FCKöln,€1.50m,€1.80m
1798,84150,15/16,"Jul1,2015",Rot-WeißErfurt,HolsteinKiel,€450k,freetransfer
1799,231586,19/20,"Jun30,2020",Hannover96,1.FCKöln,€1.60m,Endofloan
1800,231586,19/20,"Aug15,2019",1.FCKöln,Hannover96,€2.50m,Loanfee:€100k
1801,231586,17/18,"Jul1,2017",VfLWolfsburg,1.FCKöln,€4.00m,€7.00m
1802,231586,16/17,"Jul1,2016",WolfsburgU19,VfLWolfsburg,-,-
