Unnamed: 0,player_id,name,birth_date,height,current_international,main_position,foot,current_club,goals_scored,goals_assisted,goals_conceded,clean_sheets,total_appearence,agent
178,36182,Max Kruse,"['Mar', '19', '1988']",180.0,Germany,Attack Second Striker,left,515.0,162,133,player has no goal conceded,player has no clean sheets,553,EMG Mundial
179,66058,Admir Mehmedi,"['Mar', '16', '1991']",183.0,Switzerland,Attack Second Striker,right,589.0,86,49,player has no goal conceded,player has no clean sheets,429,IFM
180,314288,Lukas Nmecha,"['Dec', '14', '1998']",185.0,Germany,Attack Centre Forward,right,82.0,88,21,player has no goal conceded,player has no clean sheets,227,
181,228645,Wout Weghorst,"['Aug', '7', '1992']",197.0,Netherlands,Attack Centre Forward,right,985.0,177,56,player has no goal conceded,player has no clean sheets,456,One II Agency
182,391004,Jonas Wind,"['Feb', '7', '1999']",190.0,Denmark,Attack Centre Forward,right,82.0,85,28,player has no goal conceded,player has no clean sheets,200,People In Sport
183,445939,Omar Marmoush,"['Feb', '7', '1999']",183.0,Egypt,Attack Centre Forward,right,82.0,33,12,player has no goal conceded,player has no clean sheets,147,CAA Stellar
184,535551,Bartosz Bialek,"['Nov', '11', '2001']",191.0,Poland,Attack Centre Forward,right,499.0,29,8,player has no goal conceded,player has no clean sheets,129,BMG-SPORT
185,79501,Daniel Ginczek,"['Apr', '13', '1991']",191.0,Germany,Attack Centre Forward,right,38.0,150,49,player has no goal conceded,player has no clean sheets,376,Unique Sports Group
186,42205,Yann Sommer,"['Dec', '17', '1988']",183.0,Switzerland,Goalkeeper,right,27.0,-,keeper has no goal assisted,811,210,659,Relatives
187,31653,Tobias Sippel,"['Mar', '22', '1988']",183.0,Germany,Goalkeeper,right,18.0,-,keeper has no goal assisted,366,105,319,Dr. Michael Becker
188,455922,Jan Olschowsky,"['Nov', '18', '2001']",184.0,Germany,Goalkeeper,right,18.0,-,keeper has no goal assisted,181,37,134,B360 Sports
189,597804,Jonas Kersken,"['Sep', '1', '2000']",190.0,Germany,Goalkeeper,right,247.0,-,keeper has no goal assisted,90,16,63,Lowens Sport
190,124502,Matthias Ginter,"['Jan', '19', '1994']",191.0,Germany,Defender Centre Back,right,60.0,52,23,player has no goal conceded,player has no clean sheets,473,Unique Sports Group
191,192635,Nico Elvedi,"['Sep', '30', '1996']",189.0,Switzerland,Defender Centre Back,right,18.0,19,13,player has no goal conceded,player has no clean sheets,351,IFM
192,196231,Marvin Friedrich,"['Dec', '13', '1995']",193.0,Germany,Defender Centre Back,right,18.0,22,16,player has no goal conceded,player has no clean sheets,337,ROOF
193,403898,Jordan Beyer,"['May', '19', '2000']",187.0,Germany,Defender Centre Back,right,1132.0,8,3,player has no goal conceded,player has no clean sheets,149,Robert Schneider
194,47587,Tony Jantschke,"['Apr', '7', '1990']",177.0,Germany,Defender Centre Back,right,18.0,13,7,player has no goal conceded,player has no clean sheets,353,Fröhlich ...
195,392133,Tom Gaal,"['Mar', '3', '2001']",193.0,Germany,Defender Centre Back,both,1006.0,5,6,player has no goal conceded,player has no clean sheets,96,B O K S
196,340480,Mamadou Doucouré,"['May', '21', '1998']",183.0,France,Defender Centre Back,left,18.0,1,1,player has no goal conceded,player has no clean sheets,41,Sport Avenir ...
197,284732,Ramy Bensebaini,"['Apr', '16', '1995']",187.0,Algeria,Defender Left Back,left,18.0,33,10,player has no goal conceded,player has no clean sheets,267,HCM Sports ...
198,524285,Luca Netz,"['May', '15', '2003']",184.0,Germany,Defender Left Back,left,18.0,11,22,player has no goal conceded,player has no clean sheets,119,11WINS
199,504153,Joe Scally,"['Dec', '31', '2002']",184.0,United States,Defender Right Back,right,18.0,3,2,player has no goal conceded,player has no clean sheets,85,Wasserman
200,85791,Stefan Lainer,"['Aug', '27', '1992']",175.0,Austria,Defender Right Back,right,18.0,26,58,player has no goal conceded,player has no clean sheets,481,ROOF
201,334526,Denis Zakaria,"['Nov', '20', '1996']",190.0,Switzerland,midfield Defensive Midfield,right,631.0,32,13,player has no goal conceded,player has no clean sheets,303,HCM Sports ...
202,82097,Christoph Kramer,"['Feb', '19', '1991']",191.0,Germany,midfield Defensive Midfield,right,18.0,19,22,player has no goal conceded,player has no clean sheets,483,ROOF
203,278332,Florian Neuhaus,"['Mar', '16', '1997']",185.0,Germany,midfield Central Midfield,right,18.0,43,35,player has no goal conceded,player has no clean sheets,276,CN Sports
204,624690,Manu Koné,"['May', '17', '2001']",185.0,France,midfield Central Midfield,right,18.0,10,3,player has no goal conceded,player has no clean sheets,120,Classico
205,243188,László Bénes,"['Sep', '9', '1997']",181.0,Slovakia,midfield Central Midfield,left,41.0,14,31,player has no goal conceded,player has no clean sheets,191,ROOF
206,321096,Keanan Bennetts,"['Mar', '9', '1999']",181.0,England,midfield Left Midfield,left,105.0,17,23,player has no goal conceded,player has no clean sheets,153,DC International ...
207,48298,Lars Stindl,"['Aug', '26', '1988']",181.0,Germany,midfield Attacking Midfield,right,18.0,142,104,player has no goal conceded,player has no clean sheets,579,Dirk Hebel
208,520857,Conor Noß,"['Jan', '1', '2001']",181.0,Germany,midfield Attacking Midfield,both,18.0,18,6,player has no goal conceded,player has no clean sheets,130,B360 Sports
209,368860,Torben Müsel,"['Jul', '25', '1999']",185.0,Germany,midfield Attacking Midfield,right,56.0,52,36,player has no goal conceded,player has no clean sheets,172,act SPORTS GROUP
210,167329,Alassane Plea,"['Mar', '10', '1993']",181.0,France,Attack Left Winger,right,18.0,97,65,player has no goal conceded,player has no clean sheets,337,SMI SPORTS ...
211,321070,Hannes Wolf,"['Apr', '16', '1999']",179.0,Austria,Attack Left Winger,left,18.0,51,40,player has no goal conceded,player has no clean sheets,238,HCM Sports ...
212,472246,Mika Schroers,"['Feb', '4', '2002']",181.0,Germany,Attack Left Winger,both,1006.0,43,19,player has no goal conceded,player has no clean sheets,158,Lokurlu
213,7161,Jonas Hofmann,"['Jul', '14', '1992']",176.0,Germany,Attack Right Winger,right,18.0,96,85,player has no goal conceded,player has no clean sheets,430,Dr. Marco Gutfleisch
214,32711,Patrick Herrmann,"['Feb', '12', '1991']",179.0,Germany,Attack Right Winger,right,18.0,87,67,player has no goal conceded,player has no clean sheets,480,PRO Profil GmbH
215,318528,Marcus Thuram,"['Aug', '6', '1997']",192.0,France,Attack Centre Forward,right,18.0,63,35,player has no goal conceded,player has no clean sheets,250,Sport Cover
216,237662,Breel Embolo,"['Feb', '14', '1997']",187.0,Switzerland,Attack Centre Forward,right,162.0,89,55,player has no goal conceded,player has no clean sheets,328,ESHA
217,45672,Kevin Trapp,"['Jul', '8', '1990']",189.0,Germany,Goalkeeper,right,24.0,-,keeper has no goal assisted,634,151,502,Sports360 GmbH
218,448705,Diant Ramaj,"['Sep', '19', '2001']",189.0,Germany,Goalkeeper,both,24.0,1,keeper has no goal assisted,161,23,93,BMS Sportconsulting ...
219,40034,Jens Grahl,"['Sep', '22', '1988']",192.0,Germany,Goalkeeper,right,24.0,-,keeper has no goal assisted,214,68,202,PESM
220,586229,Jannik Horz,"['Apr', '14', '2003']",193.0,Germany,Goalkeeper,both,177.0,-,keeper has no goal assisted,48,7,27,JUNTOS
221,629032,Matteo Bignetti,"['May', '6', '2004']",190.0,Austria,Goalkeeper,,177.0,-,keeper has no goal assisted,51,18,46,GROW
222,371149,Evan Ndicka,"['Aug', '20', '1999']",192.0,France,Defender Centre Back,left,24.0,12,11,player has no goal conceded,player has no clean sheets,200,AMS CONSULTING
223,546213,Tuta,"['Jul', '4', '1999']",185.0,Brazil,Defender Centre Back,right,24.0,7,1,player has no goal conceded,player has no clean sheets,119,Wolfs
