player_name,signed_from,discription
Ben Chilwell,Leicester City U21,Hamstring Injury - Return unknown
Jacob Blyth,Leamington FC,none
Danny Simpson,Queens Park Rangers,none
Jacob Blyth,Leamington FC,none
N'Golo Kanté,SM Caen,"Groin Injury - Return expected on May 29, 2023"
Jacob Blyth,Leamington FC,none
Danny Drinkwater,Manchester United Reserves,none
Jacob Blyth,Leamington FC,none
Matty James,Manchester United U21,none
Jacob Blyth,Leamington FC,none
Marc Albrighton,Aston Villa,none
Jacob Blyth,Leamington FC,none
Demarai Gray,Birmingham City,none
Jacob Blyth,Leamington FC,none
Joseph Dodoo,none,none
Jacob Blyth,Leamington FC,none
Riyad Mahrez,AC Le Havre,none
Jacob Blyth,Leamington FC,none
Harry Panayiotou,none,none
Jacob Blyth,Leamington FC,none
Shinji Okazaki,1.FSV Mainz 05,none
Jacob Blyth,Leamington FC,none
Andrej Kramaric,HNK Rijeka,none
Jacob Blyth,Leamington FC,none
Jakob Haugaard,FC Midtjylland,none
George Waring,Everton FC U18,none
Daniel Bachmann,none,none
George Waring,Everton FC U18,none
Philipp Wollscheid,Bayer 04 Leverkusen,none
George Waring,Everton FC U18,none
Marc Wilson,Portsmouth FC,none
George Waring,Everton FC U18,none
Marc Muniesa,FC Barcelona B,none
George Waring,Everton FC U18,none
Glen Johnson,Liverpool FC,none
George Waring,Everton FC U18,none
Giannelli Imbula,FC Porto,none
George Waring,Everton FC U18,none
Marco van Ginkel,Chelsea FC,none
George Waring,Everton FC U18,none
Steve Sidwell,Fulham FC,none
George Waring,Everton FC U18,none
Ibrahim Afellay,FC Barcelona,none
George Waring,Everton FC U18,none
Oliver Shenton,none,none
George Waring,Everton FC U18,none
Jonathan Walters,Ipswich Town,none
George Waring,Everton FC U18,none
Bojan Krkic,FC Barcelona,none
George Waring,Everton FC U18,none
Mame Diouf,Hannover 96,none
George Waring,Everton FC U18,none
Peter Crouch,Tottenham Hotspur,none
George Waring,Everton FC U18,none
Kristoffer Nordfeldt,SC Heerenveen,none
Éder,SC Braga,none
Josh Vickers,none,none
Éder,SC Braga,none
Ashley Williams,Stockport County,none
Éder,SC Braga,none
Kyle Bartley,Arsenal FC U21,none
Éder,SC Braga,none
Neil Taylor,Wrexham AFC,none
Éder,SC Braga,none
Stephen Kingsley,Falkirk FC,none
Éder,SC Braga,none
Ángel Rangel,Terrassa FC,none
Éder,SC Braga,none
Liam Shephard,Swansea City U21,none
Éder,SC Braga,none
Leroy Fer,Queens Park Rangers,none
Éder,SC Braga,none
Jack Cork,Southampton FC,none
Éder,SC Braga,none
Matt Grimes,Exeter City,none
Éder,SC Braga,none
Jay Fulton,Falkirk FC,none
Éder,SC Braga,none
André Ayew,West Ham United,none
Éder,SC Braga,none
Wayne Routledge,Newcastle United,none
Éder,SC Braga,none
Kenji Gorré,Without Club,none
Éder,SC Braga,none
Daniel James,Swansea City U21,none
Éder,SC Braga,none
Alberto Paloschi,Chievo Verona,none
Éder,SC Braga,none
Marvin Emnes,Middlesbrough FC,none
Éder,SC Braga,none
Giedrius Arlauskis,Steaua Bucharest,none
Uche Ikpeazu,Reading FC U18,Torn knee ligament - Return unknown
Rene Gilmartin,St. Patrick's Athletic,none
Uche Ikpeazu,Reading FC U18,Torn knee ligament - Return unknown
Mario Suárez,ACF Fiorentina,none
Uche Ikpeazu,Reading FC U18,Torn knee ligament - Return unknown
Sebastian Prödl,SV Werder Bremen,none
Uche Ikpeazu,Reading FC U18,Torn knee ligament - Return unknown
Miguel Britos,SSC Napoli,none
Uche Ikpeazu,Reading FC U18,Torn knee ligament - Return unknown
Essaïd Belkalem,Granada CF,none
Uche Ikpeazu,Reading FC U18,Torn knee ligament - Return unknown
Tommie Hoban,Watford FC U18,none
Uche Ikpeazu,Reading FC U18,Torn knee ligament - Return unknown
Daniel Pudil,Granada CF,none
Uche Ikpeazu,Reading FC U18,Torn knee ligament - Return unknown
Allan Nyom,Udinese Calcio,none
Uche Ikpeazu,Reading FC U18,Torn knee ligament - Return unknown
Étienne Capoue,Tottenham Hotspur,none
Uche Ikpeazu,Reading FC U18,Torn knee ligament - Return unknown
Almen Abdi,Udinese Calcio,none
Uche Ikpeazu,Reading FC U18,Torn knee ligament - Return unknown
Adlène Guédioura,Crystal Palace,none
Uche Ikpeazu,Reading FC U18,Torn knee ligament - Return unknown
Connor Smith,Watford FC U18,none
Uche Ikpeazu,Reading FC U18,Torn knee ligament - Return unknown
Lloyd Dyer,Leicester City,none
Uche Ikpeazu,Reading FC U18,Torn knee ligament - Return unknown
Steven Berghuis,AZ Alkmaar,Knock - Return unknown
Uche Ikpeazu,Reading FC U18,Torn knee ligament - Return unknown
Nordin Amrabat,Málaga CF,none
Uche Ikpeazu,Reading FC U18,Torn knee ligament - Return unknown
Fernando Forestieri,Udinese Calcio,none
Uche Ikpeazu,Reading FC U18,Torn knee ligament - Return unknown
Troy Deeney,none,none
Uche Ikpeazu,Reading FC U18,Torn knee ligament - Return unknown
Matej Vydra,Udinese Calcio,none
Uche Ikpeazu,Reading FC U18,Torn knee ligament - Return unknown
Alex McCarthy,Queens Park Rangers,none
Marouane Chamakh,Arsenal FC,none
Scott Dann,Blackburn Rovers,none
Marouane Chamakh,Arsenal FC,none
Adrian Mariappa,Reading FC,none
Marouane Chamakh,Arsenal FC,none
Patrick McCarthy,Charlton Athletic,none
Marouane Chamakh,Arsenal FC,none
Pape Souaré,LOSC Lille,none
Marouane Chamakh,Arsenal FC,none
Jerome Binnom-Williams,none,none
Marouane Chamakh,Arsenal FC,none
Martin Kelly,Liverpool FC,none
Marouane Chamakh,Arsenal FC,none
Connor Dymond,Crystal Palace U18,none
Marouane Chamakh,Arsenal FC,none
James McArthur,Wigan Athletic,none
Marouane Chamakh,Arsenal FC,none
Jordon Mutch,Queens Park Rangers,"Hamstring Injury - Return expected on Jun 30, 2023"
Marouane Chamakh,Arsenal FC,none
Hiram Boateng,Crystal Palace U18,none
Marouane Chamakh,Arsenal FC,none
Luke Dreher,none,none
Marouane Chamakh,Arsenal FC,none
Yannick Bolasie,Bristol City,none
Marouane Chamakh,Arsenal FC,none
Wilfried Zaha,Manchester United,none
Marouane Chamakh,Arsenal FC,none
Chung-yong Lee,Bolton Wanderers,none
Marouane Chamakh,Arsenal FC,none
Patrick Bamford,Chelsea FC,none
Marouane Chamakh,Arsenal FC,none
Fraizer Campbell,Cardiff City,none
Marouane Chamakh,Arsenal FC,none
Emmanuel Adebayor,Without Club,none
Marouane Chamakh,Arsenal FC,none
Kwesi Appiah,Margate FC,none
Marouane Chamakh,Arsenal FC,none
Mark Bunn,Norwich City,none
Rushian Hepburn-Murphy,Aston Villa U23,none
Benjamin Siegrist,Aston Villa U21,none
Rushian Hepburn-Murphy,Aston Villa U23,none
Jores Okore,FC Nordsjaelland,none
Rushian Hepburn-Murphy,Aston Villa U23,none
Tiago Ilori,Liverpool FC,none
Rushian Hepburn-Murphy,Aston Villa U23,none
Joleon Lescott,West Bromwich Albion,none
Rushian Hepburn-Murphy,Aston Villa U23,none
José Crespo,Córdoba CF,none
Rushian Hepburn-Murphy,Aston Villa U23,none
Kevin Toner,none,none
Rushian Hepburn-Murphy,Aston Villa U23,none
Niall Mason,none,none
Rushian Hepburn-Murphy,Aston Villa U23,none
Kieran Richardson,Fulham FC,none
Rushian Hepburn-Murphy,Aston Villa U23,none
Micah Richards,Manchester City,none
Rushian Hepburn-Murphy,Aston Villa U23,none
Jordan Veretout,FC Nantes,none
Rushian Hepburn-Murphy,Aston Villa U23,none
Ashley Westwood,Crewe Alexandra,none
Rushian Hepburn-Murphy,Aston Villa U23,none
Idrissa Gueye,LOSC Lille,none
Rushian Hepburn-Murphy,Aston Villa U23,none
Gary Gardner,Aston Villa U18,none
Rushian Hepburn-Murphy,Aston Villa U23,none
Carles Gil,Valencia CF,none
Rushian Hepburn-Murphy,Aston Villa U23,none
Jack Grealish,Aston Villa U21,none
Rushian Hepburn-Murphy,Aston Villa U23,none
