Club,id,Country,link,Season,income,expend,overall_balance,income_arrival,expend_arrival
Getafe CF,3709,Spain,https://www.transfermarkt.com/fc-getafe/startseite/verein/3709/saison_id/2019,2019,€11.25m,€21.50m ,€-10.25m ,19,21
Celta de Vigo,940,Spain,https://www.transfermarkt.com/celta-vigo/startseite/verein/940/saison_id/2019,2019,€40.65m,€24.60m ,+€16.05m,16,18
RCD Espanyol Barcelona,714,Spain,https://www.transfermarkt.com/espanyol-barcelona/startseite/verein/714/saison_id/2019,2019,€60.00m,€61.50m ,€-1.50m ,15,18
CD Leganés,1244,Spain,https://www.transfermarkt.com/cd-leganes/startseite/verein/1244/saison_id/2019,2019,€40.82m,€16.45m ,+€24.37m,33,30
Deportivo Alavés,1108,Spain,https://www.transfermarkt.com/deportivo-alaves/startseite/verein/1108/saison_id/2019,2019,€22.50m,€11.77m ,+€10.73m,26,27
Levante UD,3368,Spain,https://www.transfermarkt.com/ud-levante/startseite/verein/3368/saison_id/2019,2019,€14.90m,€14.60m ,+€300k,20,21
Real Valladolid CF,366,Spain,https://www.transfermarkt.com/real-valladolid/startseite/verein/366/saison_id/2019,2019,€8.00m,€1.40m ,+€6.60m,22,21
RCD Mallorca,237,Spain,https://www.transfermarkt.com/rcd-mallorca/startseite/verein/237/saison_id/2019,2019,0,€7.50m ,€-7.50m ,26,31
CA Osasuna,331,Spain,https://www.transfermarkt.com/ca-osasuna/startseite/verein/331/saison_id/2019,2019,€300k,€14.45m ,€-14.15m ,16,21
Granada CF,16795,Spain,https://www.transfermarkt.com/fc-granada/startseite/verein/16795/saison_id/2019,2019,€300k,€11.24m ,€-10.94m ,16,20
SD Eibar,1533,Spain,https://www.transfermarkt.com/sd-eibar/startseite/verein/1533/saison_id/2019,2019,€27.00m,€17.30m ,+€9.70m,16,18
FC Barcelona,131,Spain,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131/saison_id/2020,2020,€149.80m,€112.00m ,+€37.80m,14,18
Real Madrid,418,Spain,https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2020,2020,€104.20m,                    0                ,+€104.20m,18,14
Atlético de Madrid,13,Spain,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2020,2020,€83.30m,€91.00m ,€-7.70m ,14,14
Sevilla FC,368,Spain,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368/saison_id/2020,2020,€19.68m,€74.35m ,€-54.67m ,19,22
Real Sociedad,681,Spain,https://www.transfermarkt.com/real-sociedad-san-sebastian/startseite/verein/681/saison_id/2020,2020,€28.25m,€10.00m ,+€18.25m,7,11
Villarreal CF,1050,Spain,https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050/saison_id/2020,2020,€26.65m,€36.50m ,€-9.85m ,20,24
Valencia CF,1049,Spain,https://www.transfermarkt.com/fc-valencia/startseite/verein/1049/saison_id/2020,2020,€87.85m,€50k ,+€87.80m,13,14
Real Betis Balompié,150,Spain,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150/saison_id/2020,2020,€43.70m,                    0                ,+€43.70m,14,16
Athletic Bilbao,621,Spain,https://www.transfermarkt.com/athletic-bilbao/startseite/verein/621/saison_id/2020,2020,0,€12.00m ,€-12.00m ,9,12
Getafe CF,3709,Spain,https://www.transfermarkt.com/fc-getafe/startseite/verein/3709/saison_id/2020,2020,€9.75m,€22.05m ,€-12.30m ,23,21
Celta de Vigo,940,Spain,https://www.transfermarkt.com/celta-vigo/startseite/verein/940/saison_id/2020,2020,€2.50m,€3.00m ,€-500k ,12,10
Granada CF,16795,Spain,https://www.transfermarkt.com/fc-granada/startseite/verein/16795/saison_id/2020,2020,0,€20.50m ,€-20.50m ,13,13
Levante UD,3368,Spain,https://www.transfermarkt.com/ud-levante/startseite/verein/3368/saison_id/2020,2020,€5.00m,€4.00m ,+€1.00m,14,15
CA Osasuna,331,Spain,https://www.transfermarkt.com/ca-osasuna/startseite/verein/331/saison_id/2020,2020,€3.45m,€9.15m ,€-5.70m ,15,15
SD Eibar,1533,Spain,https://www.transfermarkt.com/sd-eibar/startseite/verein/1533/saison_id/2020,2020,€150k,€2.00m ,€-1.85m ,13,13
Deportivo Alavés,1108,Spain,https://www.transfermarkt.com/deportivo-alaves/startseite/verein/1108/saison_id/2020,2020,€4.88m,                    0                ,+€4.88m,24,23
SD Huesca,5358,Spain,https://www.transfermarkt.com/sd-huesca/startseite/verein/5358/saison_id/2020,2020,0,€4.65m ,€-4.65m ,18,20
Real Valladolid CF,366,Spain,https://www.transfermarkt.com/real-valladolid/startseite/verein/366/saison_id/2020,2020,€12.10m,€9.85m ,+€2.25m,22,28
Cádiz CF,2687,Spain,https://www.transfermarkt.com/fc-cadiz/startseite/verein/2687/saison_id/2020,2020,0,€10.10m ,€-10.10m ,29,30
Elche CF,1531,Spain,https://www.transfermarkt.com/fc-elche/startseite/verein/1531/saison_id/2020,2020,€7.30m,€6.10m ,+€1.20m,19,21
Real Madrid,418,Spain,https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2021,2021,€78.00m,€31.00m ,+€47.00m,7,10
FC Barcelona,131,Spain,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131/saison_id/2021,2021,€70.76m,€69.50m ,+€1.26m,17,19
Atlético de Madrid,13,Spain,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2021,2021,€22.75m,€80.70m ,€-57.95m ,18,18
Villarreal CF,1050,Spain,https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050/saison_id/2021,2021,€10.38m,€54.50m ,€-44.13m ,18,20
Sevilla FC,368,Spain,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368/saison_id/2021,2021,€28.50m,€41.50m ,€-13.00m ,17,17
Real Sociedad,681,Spain,https://www.transfermarkt.com/real-sociedad-san-sebastian/startseite/verein/681/saison_id/2021,2021,0,€2.50m ,€-2.50m ,9,7
Valencia CF,1049,Spain,https://www.transfermarkt.com/fc-valencia/startseite/verein/1049/saison_id/2021,2021,€2.70m,€13.35m ,€-10.65m ,15,15
Real Betis Balompié,150,Spain,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150/saison_id/2021,2021,€14.00m,€3.25m ,+€10.75m,8,9
Athletic Bilbao,621,Spain,https://www.transfermarkt.com/athletic-bilbao/startseite/verein/621/saison_id/2021,2021,0,                    0                ,-0,9,6
Getafe CF,3709,Spain,https://www.transfermarkt.com/fc-getafe/startseite/verein/3709/saison_id/2021,2021,€21.00m,€16.00m ,+€5.00m,19,22
RCD Espanyol Barcelona,714,Spain,https://www.transfermarkt.com/espanyol-barcelona/startseite/verein/714/saison_id/2021,2021,0,€6.00m ,€-6.00m ,8,11
Celta de Vigo,940,Spain,https://www.transfermarkt.com/celta-vigo/startseite/verein/940/saison_id/2021,2021,€1.80m,€10.02m ,€-8.22m ,16,13
CA Osasuna,331,Spain,https://www.transfermarkt.com/ca-osasuna/startseite/verein/331/saison_id/2021,2021,0,€8.70m ,€-8.70m ,15,14
Granada CF,16795,Spain,https://www.transfermarkt.com/fc-granada/startseite/verein/16795/saison_id/2021,2021,€3.00m,€17.45m ,€-14.45m ,17,20
Levante UD,3368,Spain,https://www.transfermarkt.com/ud-levante/startseite/verein/3368/saison_id/2021,2021,0,€875k ,€-875k ,10,13
RCD Mallorca,237,Spain,https://www.transfermarkt.com/rcd-mallorca/startseite/verein/237/saison_id/2021,2021,€9.00m,€10.00m ,€-1.00m ,22,21
Elche CF,1531,Spain,https://www.transfermarkt.com/fc-elche/startseite/verein/1531/saison_id/2021,2021,€2.10m,€8.20m ,€-6.10m ,19,19
Cádiz CF,2687,Spain,https://www.transfermarkt.com/fc-cadiz/startseite/verein/2687/saison_id/2021,2021,0,€6.10m ,€-6.10m ,22,24
Rayo Vallecano,367,Spain,https://www.transfermarkt.com/rayo-vallecano/startseite/verein/367/saison_id/2021,2021,€2.20m,€4.30m ,€-2.10m ,19,16
Deportivo Alavés,1108,Spain,https://www.transfermarkt.com/deportivo-alaves/startseite/verein/1108/saison_id/2021,2021,€3.50m,€1.15m ,+€2.35m,22,24
Juventus FC,506,Italy,https://www.transfermarkt.com/juventus-turin/startseite/verein/506/saison_id/2015,2015,€81.28m,€185.50m ,€-104.22m ,72,78
AS Roma,12,Italy,https://www.transfermarkt.com/as-rom/startseite/verein/12/saison_id/2015,2015,€134.25m,€60.85m ,+€73.40m,55,58
SSC Napoli,6195,Italy,https://www.transfermarkt.com/ssc-neapel/startseite/verein/6195/saison_id/2015,2015,€18.29m,€42.70m ,€-24.41m ,33,34
Inter Milan,46,Italy,https://www.transfermarkt.com/inter-mailand/startseite/verein/46/saison_id/2015,2015,€115.32m,€102.45m ,+€12.87m,68,58
AC Milan,5,Italy,https://www.transfermarkt.com/ac-mailand/startseite/verein/5/saison_id/2015,2015,€11.16m,€102.28m ,€-91.12m ,51,48
ACF Fiorentina,430,Italy,https://www.transfermarkt.com/ac-florenz/startseite/verein/430/saison_id/2015,2015,€26.85m,€24.90m ,+€1.95m,48,42
SS Lazio,398,Italy,https://www.transfermarkt.com/lazio-rom/startseite/verein/398/saison_id/2015,2015,€2.37m,€31.25m ,€-28.88m ,33,35
UC Sampdoria,1038,Italy,https://www.transfermarkt.com/sampdoria-genua/startseite/verein/1038/saison_id/2015,2015,€16.82m,€34.67m ,€-17.85m ,57,59
Genoa CFC,252,Italy,https://www.transfermarkt.com/genua-cfc/startseite/verein/252/saison_id/2015,2015,€43.15m,€16.70m ,+€26.45m,47,51
US Sassuolo,6574,Italy,https://www.transfermarkt.com/us-sassuolo/startseite/verein/6574/saison_id/2015,2015,€25.00m,€30.70m ,€-5.70m ,27,21
Udinese Calcio,410,Italy,https://www.transfermarkt.com/udinese-calcio/startseite/verein/410/saison_id/2015,2015,€74.12m,€21.42m ,+€52.70m,56,61
Torino FC,416,Italy,https://www.transfermarkt.com/fc-turin/startseite/verein/416/saison_id/2015,2015,€19.75m,€28.05m ,€-8.30m ,38,40
Atalanta BC,800,Italy,https://www.transfermarkt.com/atalanta-bergamo/startseite/verein/800/saison_id/2015,2015,€37.95m,€26.68m ,+€11.27m,63,72
Bologna FC 1909,1025,Italy,https://www.transfermarkt.com/fc-bologna/startseite/verein/1025/saison_id/2015,2015,€800k,€26.63m ,€-25.83m ,42,44
Empoli FC ,749,Italy,https://www.transfermarkt.com/fc-empoli/startseite/verein/749/saison_id/2015,2015,€11.50m,€6.35m ,+€5.15m,32,33
US Palermo,458,Italy,https://www.transfermarkt.com/palermo-fc/startseite/verein/458/saison_id/2015,2015,€52.90m,€12.25m ,+€40.65m,41,41
Carpi FC 1909,4102,Italy,https://www.transfermarkt.com/carpi-fc-1909/startseite/verein/4102/saison_id/2015,2015,€275k,€300k ,€-25k ,39,41
Chievo Verona,862,Italy,https://www.transfermarkt.com/chievo-verona/startseite/verein/862/saison_id/2015,2015,€15.40m,€6.13m ,+€9.27m,64,70
Hellas Verona,276,Italy,https://www.transfermarkt.com/hellas-verona/startseite/verein/276/saison_id/2015,2015,€2.05m,€6.30m ,€-4.25m ,51,48
Frosinone Calcio,8970,Italy,https://www.transfermarkt.com/frosinone-calcio/startseite/verein/8970/saison_id/2015,2015,€200k,€400k ,€-200k ,22,22
Juventus FC,506,Italy,https://www.transfermarkt.com/juventus-turin/startseite/verein/506/saison_id/2016,2016,€176.93m,€170.23m ,+€6.70m,72,78
SSC Napoli,6195,Italy,https://www.transfermarkt.com/ssc-neapel/startseite/verein/6195/saison_id/2016,2016,€116.81m,€99.09m ,+€17.72m,35,38
AS Roma,12,Italy,https://www.transfermarkt.com/as-rom/startseite/verein/12/saison_id/2016,2016,€43.43m,€102.50m ,€-59.07m ,52,54
Inter Milan,46,Italy,https://www.transfermarkt.com/inter-mailand/startseite/verein/46/saison_id/2016,2016,€18.50m,€164.63m ,€-146.13m ,48,59
AC Milan,5,Italy,https://www.transfermarkt.com/ac-mailand/startseite/verein/5/saison_id/2016,2016,€25.15m,€29.56m ,€-4.41m ,28,31
SS Lazio,398,Italy,https://www.transfermarkt.com/lazio-rom/startseite/verein/398/saison_id/2016,2016,€28.70m,€32.70m ,€-4.00m ,33,27
ACF Fiorentina,430,Italy,https://www.transfermarkt.com/ac-florenz/startseite/verein/430/saison_id/2016,2016,€31.05m,€15.73m ,+€15.32m,42,44
Torino FC,416,Italy,https://www.transfermarkt.com/fc-turin/startseite/verein/416/saison_id/2016,2016,€26.43m,€28.77m ,€-2.35m ,42,46
Atalanta BC,800,Italy,https://www.transfermarkt.com/atalanta-bergamo/startseite/verein/800/saison_id/2016,2016,€41.33m,€15.94m ,+€25.39m,62,68
US Sassuolo,6574,Italy,https://www.transfermarkt.com/us-sassuolo/startseite/verein/6574/saison_id/2016,2016,€27.80m,€27.51m ,+€292k,22,25
UC Sampdoria,1038,Italy,https://www.transfermarkt.com/sampdoria-genua/startseite/verein/1038/saison_id/2016,2016,€80.70m,€39.65m ,+€41.05m,53,50
Genoa CFC,252,Italy,https://www.transfermarkt.com/genua-cfc/startseite/verein/252/saison_id/2016,2016,€50.30m,€27.20m ,+€23.10m,54,52
Udinese Calcio,410,Italy,https://www.transfermarkt.com/udinese-calcio/startseite/verein/410/saison_id/2016,2016,€32.23m,€26.50m ,+€5.73m,55,60
Bologna FC 1909,1025,Italy,https://www.transfermarkt.com/fc-bologna/startseite/verein/1025/saison_id/2016,2016,€16.98m,€31.30m ,€-14.32m ,37,36
Cagliari Calcio,1390,Italy,https://www.transfermarkt.com/cagliari-calcio/startseite/verein/1390/saison_id/2016,2016,€11.62m,€9.72m ,+€1.90m,34,39
Empoli FC ,749,Italy,https://www.transfermarkt.com/fc-empoli/startseite/verein/749/saison_id/2016,2016,€15.00m,€7.00m ,+€8.00m,30,33
Delfino Pescara 1936,2921,Italy,https://www.transfermarkt.com/delfino-pescara-1936/startseite/verein/2921/saison_id/2016,2016,€22.27m,€14.29m ,+€7.98m,56,66
Chievo Verona,862,Italy,https://www.transfermarkt.com/chievo-verona/startseite/verein/862/saison_id/2016,2016,€6.28m,€12.57m ,€-6.29m ,51,53
