Club,id,Country,link,Season,income,expend,overall_balance,income_arrival,expend_arrival
US Palermo,458,Italy,https://www.transfermarkt.com/palermo-fc/startseite/verein/458/saison_id/2016,2016,€29.25m,€8.48m ,+€20.78m,33,37
FC Crotone,4083,Italy,https://www.transfermarkt.com/fc-crotone/startseite/verein/4083/saison_id/2016,2016,€7.75m,€5.95m ,+€1.80m,37,36
Juventus FC,506,Italy,https://www.transfermarkt.com/juventus-turin/startseite/verein/506/saison_id/2017,2017,€145.65m,€177.60m ,€-31.95m ,59,67
SSC Napoli,6195,Italy,https://www.transfermarkt.com/ssc-neapel/startseite/verein/6195/saison_id/2017,2017,€17.45m,€68.00m ,€-50.55m ,30,33
Inter Milan,46,Italy,https://www.transfermarkt.com/inter-mailand/startseite/verein/46/saison_id/2017,2017,€79.24m,€137.63m ,€-58.39m ,63,58
AS Roma,12,Italy,https://www.transfermarkt.com/as-rom/startseite/verein/12/saison_id/2017,2017,€156.50m,€91.30m ,+€65.20m,51,58
SS Lazio,398,Italy,https://www.transfermarkt.com/lazio-rom/startseite/verein/398/saison_id/2017,2017,€73.92m,€28.25m ,+€45.67m,23,29
AC Milan,5,Italy,https://www.transfermarkt.com/ac-mailand/startseite/verein/5/saison_id/2017,2017,€39.70m,€186.48m ,€-146.78m ,32,35
ACF Fiorentina,430,Italy,https://www.transfermarkt.com/ac-florenz/startseite/verein/430/saison_id/2017,2017,€93.58m,€79.50m ,+€14.08m,42,45
Atalanta BC,800,Italy,https://www.transfermarkt.com/atalanta-bergamo/startseite/verein/800/saison_id/2017,2017,€78.04m,€66.59m ,+€11.45m,71,77
UC Sampdoria,1038,Italy,https://www.transfermarkt.com/sampdoria-genua/startseite/verein/1038/saison_id/2017,2017,€71.46m,€51.00m ,+€20.46m,38,41
Torino FC,416,Italy,https://www.transfermarkt.com/fc-turin/startseite/verein/416/saison_id/2017,2017,€79.80m,€26.38m ,+€53.42m,38,37
Genoa CFC,252,Italy,https://www.transfermarkt.com/genua-cfc/startseite/verein/252/saison_id/2017,2017,€46.72m,€14.17m ,+€32.55m,51,56
US Sassuolo,6574,Italy,https://www.transfermarkt.com/us-sassuolo/startseite/verein/6574/saison_id/2017,2017,€19.25m,€37.10m ,€-17.85m ,28,31
Udinese Calcio,410,Italy,https://www.transfermarkt.com/udinese-calcio/startseite/verein/410/saison_id/2017,2017,€17.70m,€22.59m ,€-4.89m ,36,35
Bologna FC 1909,1025,Italy,https://www.transfermarkt.com/fc-bologna/startseite/verein/1025/saison_id/2017,2017,0,€13.00m ,€-13.00m ,29,36
Cagliari Calcio,1390,Italy,https://www.transfermarkt.com/cagliari-calcio/startseite/verein/1390/saison_id/2017,2017,€19.88m,€31.09m ,€-11.22m ,34,34
SPAL 2013,2722,Italy,https://www.transfermarkt.com/spal/startseite/verein/2722/saison_id/2017,2017,€574k,€8.74m ,€-8.16m ,30,31
Benevento Calcio,4171,Italy,https://www.transfermarkt.com/benevento-calcio/startseite/verein/4171/saison_id/2017,2017,€3.98m,€23.48m ,€-19.50m ,34,36
Hellas Verona,276,Italy,https://www.transfermarkt.com/hellas-verona/startseite/verein/276/saison_id/2017,2017,€8.05m,€3.05m ,+€5.00m,32,36
Chievo Verona,862,Italy,https://www.transfermarkt.com/chievo-verona/startseite/verein/862/saison_id/2017,2017,€17.67m,€2.95m ,+€14.72m,53,57
FC Crotone,4083,Italy,https://www.transfermarkt.com/fc-crotone/startseite/verein/4083/saison_id/2017,2017,0,€3.00m ,€-3.00m ,32,34
Juventus FC,506,Italy,https://www.transfermarkt.com/juventus-turin/startseite/verein/506/saison_id/2018,2018,€112.54m,€263.20m ,€-150.66m ,32,41
SSC Napoli,6195,Italy,https://www.transfermarkt.com/ssc-neapel/startseite/verein/6195/saison_id/2018,2018,€100.80m,€71.00m ,+€29.80m,29,28
Inter Milan,46,Italy,https://www.transfermarkt.com/inter-mailand/startseite/verein/46/saison_id/2018,2018,€91.17m,€97.60m ,€-6.43m ,50,51
AC Milan,5,Italy,https://www.transfermarkt.com/ac-mailand/startseite/verein/5/saison_id/2018,2018,€88.10m,€194.64m ,€-106.54m ,28,26
AS Roma,12,Italy,https://www.transfermarkt.com/as-rom/startseite/verein/12/saison_id/2018,2018,€150.47m,€166.35m ,€-15.88m ,43,45
Atalanta BC,800,Italy,https://www.transfermarkt.com/atalanta-bergamo/startseite/verein/800/saison_id/2018,2018,€25.06m,€60.80m ,€-35.74m ,71,76
ACF Fiorentina,430,Italy,https://www.transfermarkt.com/ac-florenz/startseite/verein/430/saison_id/2018,2018,€43.39m,€60.77m ,€-17.38m ,40,41
SS Lazio,398,Italy,https://www.transfermarkt.com/lazio-rom/startseite/verein/398/saison_id/2018,2018,€38.60m,€51.28m ,€-12.68m ,29,27
US Sassuolo,6574,Italy,https://www.transfermarkt.com/us-sassuolo/startseite/verein/6574/saison_id/2018,2018,€50.38m,€53.97m ,€-3.59m ,39,41
Torino FC,416,Italy,https://www.transfermarkt.com/fc-turin/startseite/verein/416/saison_id/2018,2018,€17.20m,€53.15m ,€-35.95m ,44,47
UC Sampdoria,1038,Italy,https://www.transfermarkt.com/sampdoria-genua/startseite/verein/1038/saison_id/2018,2018,€90.12m,€56.45m ,+€33.67m,42,45
Udinese Calcio,410,Italy,https://www.transfermarkt.com/udinese-calcio/startseite/verein/410/saison_id/2018,2018,€13.53m,€52.90m ,€-39.37m ,40,44
Genoa CFC,252,Italy,https://www.transfermarkt.com/genua-cfc/startseite/verein/252/saison_id/2018,2018,€84.36m,€59.07m ,+€25.29m,65,67
Cagliari Calcio,1390,Italy,https://www.transfermarkt.com/cagliari-calcio/startseite/verein/1390/saison_id/2018,2018,€7.85m,€22.50m ,€-14.65m ,29,31
Bologna FC 1909,1025,Italy,https://www.transfermarkt.com/fc-bologna/startseite/verein/1025/saison_id/2018,2018,€44.99m,€31.22m ,+€13.78m,32,38
Empoli FC ,749,Italy,https://www.transfermarkt.com/fc-empoli/startseite/verein/749/saison_id/2018,2018,€22.90m,€17.30m ,+€5.60m,38,42
SPAL,2722,Italy,https://www.transfermarkt.com/spal/startseite/verein/2722/saison_id/2018,2018,€1.85m,€21.90m ,€-20.05m ,38,38
Parma Calcio 1913,130,Italy,https://www.transfermarkt.com/parma-calcio-1913/startseite/verein/130/saison_id/2018,2018,€596k,€20.40m ,€-19.81m ,43,49
Chievo Verona,862,Italy,https://www.transfermarkt.com/chievo-verona/startseite/verein/862/saison_id/2018,2018,€17.62m,€9.47m ,+€8.15m,49,52
Frosinone Calcio,8970,Italy,https://www.transfermarkt.com/frosinone-calcio/startseite/verein/8970/saison_id/2018,2018,€800k,€9.56m ,€-8.76m ,24,25
Juventus FC,506,Italy,https://www.transfermarkt.com/juventus-turin/startseite/verein/506/saison_id/2019,2019,€203.14m,€230.50m ,€-27.36m ,24,23
Inter Milan,46,Italy,https://www.transfermarkt.com/inter-mailand/startseite/verein/46/saison_id/2019,2019,€66.74m,€191.72m ,€-124.98m ,45,49
SSC Napoli,6195,Italy,https://www.transfermarkt.com/ssc-neapel/startseite/verein/6195/saison_id/2019,2019,€48.72m,€206.52m ,€-157.80m ,39,45
AC Milan,5,Italy,https://www.transfermarkt.com/ac-mailand/startseite/verein/5/saison_id/2019,2019,€59.23m,€124.08m ,€-64.85m ,27,25
AS Roma,12,Italy,https://www.transfermarkt.com/as-rom/startseite/verein/12/saison_id/2019,2019,€106.38m,€117.40m ,€-11.03m ,37,39
SS Lazio,398,Italy,https://www.transfermarkt.com/lazio-rom/startseite/verein/398/saison_id/2019,2019,€35.35m,€49.95m ,€-14.60m ,34,37
ACF Fiorentina,430,Italy,https://www.transfermarkt.com/ac-florenz/startseite/verein/430/saison_id/2019,2019,€15.32m,€56.54m ,€-41.22m ,46,48
Atalanta BC,800,Italy,https://www.transfermarkt.com/atalanta-bergamo/startseite/verein/800/saison_id/2019,2019,€105.10m,€60.06m ,+€45.04m,70,78
US Sassuolo,6574,Italy,https://www.transfermarkt.com/us-sassuolo/startseite/verein/6574/saison_id/2019,2019,€51.95m,€66.34m ,€-14.38m ,49,53
Cagliari Calcio,1390,Italy,https://www.transfermarkt.com/cagliari-calcio/startseite/verein/1390/saison_id/2019,2019,€18.86m,€40.10m ,€-21.24m ,30,34
Torino FC,416,Italy,https://www.transfermarkt.com/fc-turin/startseite/verein/416/saison_id/2019,2019,€24.40m,€28.80m ,€-4.40m ,40,41
Genoa CFC,252,Italy,https://www.transfermarkt.com/genua-cfc/startseite/verein/252/saison_id/2019,2019,€66.35m,€50.37m ,+€15.98m,67,72
UC Sampdoria,1038,Italy,https://www.transfermarkt.com/sampdoria-genua/startseite/verein/1038/saison_id/2019,2019,€74.59m,€65.25m ,+€9.34m,40,47
Bologna FC 1909,1025,Italy,https://www.transfermarkt.com/fc-bologna/startseite/verein/1025/saison_id/2019,2019,€28.68m,€67.04m ,€-38.36m ,40,38
Parma Calcio 1913,130,Italy,https://www.transfermarkt.com/parma-calcio-1913/startseite/verein/130/saison_id/2019,2019,€18.16m,€23.31m ,€-5.15m ,64,65
Udinese Calcio,410,Italy,https://www.transfermarkt.com/udinese-calcio/startseite/verein/410/saison_id/2019,2019,€60.27m,€12.60m ,+€47.67m,38,38
Hellas Verona,276,Italy,https://www.transfermarkt.com/hellas-verona/startseite/verein/276/saison_id/2019,2019,€43.67m,€21.19m ,+€22.48m,53,53
Brescia Calcio,19,Italy,https://www.transfermarkt.com/brescia-calcio/startseite/verein/19/saison_id/2019,2019,€100k,€18.65m ,€-18.55m ,20,18
SPAL,2722,Italy,https://www.transfermarkt.com/spal/startseite/verein/2722/saison_id/2019,2019,€39.70m,€26.15m ,+€13.55m,34,39
US Lecce,1005,Italy,https://www.transfermarkt.com/us-lecce/startseite/verein/1005/saison_id/2019,2019,€450k,€6.20m ,€-5.75m ,37,35
Inter Milan,46,Italy,https://www.transfermarkt.com/inter-mailand/startseite/verein/46/saison_id/2020,2020,€82.95m,€126.50m ,€-43.55m ,39,34
Juventus FC,506,Italy,https://www.transfermarkt.com/juventus-turin/startseite/verein/506/saison_id/2020,2020,€110.56m,€158.01m ,€-47.45m ,17,19
AC Milan,5,Italy,https://www.transfermarkt.com/ac-mailand/startseite/verein/5/saison_id/2020,2020,€52.09m,€31.92m ,+€20.17m,26,28
SSC Napoli,6195,Italy,https://www.transfermarkt.com/ssc-neapel/startseite/verein/6195/saison_id/2020,2020,€123.06m,€77.25m ,+€45.81m,37,36
Atalanta BC,800,Italy,https://www.transfermarkt.com/atalanta-bergamo/startseite/verein/800/saison_id/2020,2020,€75.40m,€62.04m ,+€13.37m,57,61
AS Roma,12,Italy,https://www.transfermarkt.com/as-rom/startseite/verein/12/saison_id/2020,2020,€49.00m,€72.10m ,€-23.10m ,30,33
SS Lazio,398,Italy,https://www.transfermarkt.com/lazio-rom/startseite/verein/398/saison_id/2020,2020,€7.85m,€41.70m ,€-33.85m ,27,27
ACF Fiorentina,430,Italy,https://www.transfermarkt.com/ac-florenz/startseite/verein/430/saison_id/2020,2020,€59.89m,€55.30m ,+€4.59m,43,45
US Sassuolo,6574,Italy,https://www.transfermarkt.com/us-sassuolo/startseite/verein/6574/saison_id/2020,2020,€62.36m,€29.66m ,+€32.70m,36,37
Cagliari Calcio,1390,Italy,https://www.transfermarkt.com/cagliari-calcio/startseite/verein/1390/saison_id/2020,2020,€42.66m,€34.18m ,+€8.48m,33,31
Torino FC,416,Italy,https://www.transfermarkt.com/fc-turin/startseite/verein/416/saison_id/2020,2020,€27.00m,€46.70m ,€-19.70m ,30,34
Udinese Calcio,410,Italy,https://www.transfermarkt.com/udinese-calcio/startseite/verein/410/saison_id/2020,2020,€31.55m,€21.50m ,+€10.05m,27,31
Hellas Verona,276,Italy,https://www.transfermarkt.com/hellas-verona/startseite/verein/276/saison_id/2020,2020,€5.40m,€18.95m ,€-13.55m ,49,51
Bologna FC 1909,1025,Italy,https://www.transfermarkt.com/fc-bologna/startseite/verein/1025/saison_id/2020,2020,€5.00m,€3.15m ,+€1.85m,28,29
Parma Calcio 1913,130,Italy,https://www.transfermarkt.com/parma-calcio-1913/startseite/verein/130/saison_id/2020,2020,€4.00m,€104.33m ,€-100.33m ,45,57
UC Sampdoria,1038,Italy,https://www.transfermarkt.com/sampdoria-genua/startseite/verein/1038/saison_id/2020,2020,€12.10m,€17.75m ,€-5.65m ,33,32
Genoa CFC,252,Italy,https://www.transfermarkt.com/genua-cfc/startseite/verein/252/saison_id/2020,2020,€67.29m,€64.68m ,+€2.61m,58,56
Spezia Calcio,3522,Italy,https://www.transfermarkt.com/spezia-calcio/startseite/verein/3522/saison_id/2020,2020,€1.96m,€5.14m ,€-3.18m ,28,35
FC Crotone,4083,Italy,https://www.transfermarkt.com/fc-crotone/startseite/verein/4083/saison_id/2020,2020,0,€5.49m ,€-5.49m ,28,34
Benevento Calcio,4171,Italy,https://www.transfermarkt.com/benevento-calcio/startseite/verein/4171/saison_id/2020,2020,€1.00m,€11.60m ,€-10.60m ,20,26
Juventus FC,506,Italy,https://www.transfermarkt.com/juventus-turin/startseite/verein/506/saison_id/2021,2021,€64.03m,€129.50m ,€-65.47m ,15,18
Inter Milan,46,Italy,https://www.transfermarkt.com/inter-mailand/startseite/verein/46/saison_id/2021,2021,€205.05m,€42.55m ,+€162.50m,35,34
AC Milan,5,Italy,https://www.transfermarkt.com/ac-mailand/startseite/verein/5/saison_id/2021,2021,€5.12m,€93.11m ,€-87.99m ,24,28
SSC Napoli,6195,Italy,https://www.transfermarkt.com/ssc-neapel/startseite/verein/6195/saison_id/2021,2021,€3.20m,€23.30m ,€-20.10m ,25,26
Atalanta BC,800,Italy,https://www.transfermarkt.com/atalanta-bergamo/startseite/verein/800/saison_id/2021,2021,€48.99m,€65.20m ,€-16.21m ,62,68
AS Roma,12,Italy,https://www.transfermarkt.com/as-rom/startseite/verein/12/saison_id/2021,2021,€17.24m,€127.65m ,€-110.42m ,36,36
ACF Fiorentina,430,Italy,https://www.transfermarkt.com/ac-florenz/startseite/verein/430/saison_id/2021,2021,€112.20m,€64.40m ,+€47.80m,40,42
SS Lazio,398,Italy,https://www.transfermarkt.com/lazio-rom/startseite/verein/398/saison_id/2021,2021,€8.90m,€13.80m ,€-4.90m ,33,33
US Sassuolo,6574,Italy,https://www.transfermarkt.com/us-sassuolo/startseite/verein/6574/saison_id/2021,2021,€22.80m,€37.12m ,€-14.33m ,45,46
Torino FC,416,Italy,https://www.transfermarkt.com/fc-turin/startseite/verein/416/saison_id/2021,2021,€16.50m,€13.40m ,+€3.10m,30,31
Bologna FC 1909,1025,Italy,https://www.transfermarkt.com/fc-bologna/startseite/verein/1025/saison_id/2021,2021,€25.00m,€32.31m ,€-7.31m ,34,35
Hellas Verona,276,Italy,https://www.transfermarkt.com/hellas-verona/startseite/verein/276/saison_id/2021,2021,€37.52m,€42.27m ,€-4.76m ,41,36
Udinese Calcio,410,Italy,https://www.transfermarkt.com/udinese-calcio/startseite/verein/410/saison_id/2021,2021,€79.63m,€9.40m ,+€70.23m,28,26
Cagliari Calcio,1390,Italy,https://www.transfermarkt.com/cagliari-calcio/startseite/verein/1390/saison_id/2021,2021,€7.37m,€15.20m ,€-7.83m ,29,29
UC Sampdoria,1038,Italy,https://www.transfermarkt.com/sampdoria-genua/startseite/verein/1038/saison_id/2021,2021,€9.70m,€14.51m ,€-4.81m ,40,40
FC Empoli,749,Italy,https://www.transfermarkt.com/fc-empoli/startseite/verein/749/saison_id/2021,2021,€28.20m,€10.50m ,+€17.70m,35,40
Genoa CFC,252,Italy,https://www.transfermarkt.com/genua-cfc/startseite/verein/252/saison_id/2021,2021,€18.62m,€39.10m ,€-20.49m ,61,70
Venezia FC,607,Italy,https://www.transfermarkt.com/venezia-fc/startseite/verein/607/saison_id/2021,2021,€200k,€22.09m ,€-21.89m ,30,35
Spezia Calcio,3522,Italy,https://www.transfermarkt.com/spezia-calcio/startseite/verein/3522/saison_id/2021,2021,€2.20m,€27.79m ,€-25.58m ,40,36
US Salernitana 1919,380,Italy,https://www.transfermarkt.com/us-salernitana-1919/startseite/verein/380/saison_id/2021,2021,0,€14.35m ,€-14.35m ,47,52
Bayern Munich,27,Germany,https://www.transfermarkt.com/fc-bayern-munchen/startseite/verein/27/saison_id/2015,2015,€33.00m,€90.75m ,€-57.75m ,10,10
Borussia Dortmund,16,Germany,https://www.transfermarkt.com/borussia-dortmund/startseite/verein/16/saison_id/2015,2015,€42.55m,€20.00m ,+€22.55m,15,12
VfL Wolfsburg,82,Germany,https://www.transfermarkt.com/vfl-wolfsburg/startseite/verein/82/saison_id/2015,2015,€111.30m,€68.10m ,+€43.20m,12,13
Bayer 04 Leverkusen,15,Germany,https://www.transfermarkt.com/bayer-04-leverkusen/startseite/verein/15/saison_id/2015,2015,€63.25m,€58.00m ,+€5.25m,18,23
FC Schalke 04,33,Germany,https://www.transfermarkt.com/fc-schalke-04/startseite/verein/33/saison_id/2015,2015,€57.20m,€37.10m ,+€20.10m,17,16
Borussia Mönchengladbach,18,Germany,https://www.transfermarkt.com/borussia-monchengladbach/startseite/verein/18/saison_id/2015,2015,€15.70m,€38.00m ,€-22.30m ,10,11
TSG 1899 Hoffenheim,533,Germany,https://www.transfermarkt.com/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2015,2015,€57.15m,€23.40m ,+€33.75m,28,29
1.FSV Mainz 05,39,Germany,https://www.transfermarkt.com/1-fsv-mainz-05/startseite/verein/39/saison_id/2015,2015,€34.20m,€13.85m ,+€20.35m,23,23
VfB Stuttgart,79,Germany,https://www.transfermarkt.com/vfb-stuttgart/startseite/verein/79/saison_id/2015,2015,€20.55m,€15.67m ,+€4.88m,19,19
Hertha BSC,44,Germany,https://www.transfermarkt.com/hertha-bsc/startseite/verein/44/saison_id/2015,2015,€4.92m,€7.30m ,€-2.38m ,11,13
Eintracht Frankfurt,24,Germany,https://www.transfermarkt.com/eintracht-frankfurt/startseite/verein/24/saison_id/2015,2015,€12.10m,€11.82m ,+€280k,13,15
FC Augsburg,167,Germany,https://www.transfermarkt.com/fc-augsburg/startseite/verein/167/saison_id/2015,2015,€26.90m,€16.70m ,+€10.20m,9,14
1.FC Köln,3,Germany,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2015,2015,€13.05m,€14.78m ,€-1.73m ,15,12
SV Werder Bremen,86,Germany,https://www.transfermarkt.com/sv-werder-bremen/startseite/verein/86/saison_id/2015,2015,€19.45m,€12.88m ,+€6.57m,16,23
Hamburger SV,41,Germany,https://www.transfermarkt.com/hamburger-sv/startseite/verein/41/saison_id/2015,2015,€13.20m,€21.85m ,€-8.65m ,19,19
Hannover 96,42,Germany,https://www.transfermarkt.com/hannover-96/startseite/verein/42/saison_id/2015,2015,€13.50m,€18.40m ,€-4.90m ,18,21
FC Ingolstadt 04,4795,Germany,https://www.transfermarkt.com/fc-ingolstadt-04/startseite/verein/4795/saison_id/2015,2015,0,€6.20m ,€-6.20m ,9,6
SV Darmstadt 98,105,Germany,https://www.transfermarkt.com/sv-darmstadt-98/startseite/verein/105/saison_id/2015,2015,0,€1.10m ,€-1.10m ,11,16
Bayern Munich,27,Germany,https://www.transfermarkt.com/fc-bayern-munchen/startseite/verein/27/saison_id/2016,2016,€52.30m,€70.00m ,€-17.70m ,8,5
Borussia Dortmund,16,Germany,https://www.transfermarkt.com/borussia-dortmund/startseite/verein/16/saison_id/2016,2016,€111.00m,€141.10m ,€-30.10m ,8,12
Bayer 04 Leverkusen,15,Germany,https://www.transfermarkt.com/bayer-04-leverkusen/startseite/verein/15/saison_id/2016,2016,€23.70m,€63.30m ,€-39.60m ,18,19
FC Schalke 04,33,Germany,https://www.transfermarkt.com/fc-schalke-04/startseite/verein/33/saison_id/2016,2016,€61.30m,€43.30m ,+€18.00m,15,19
VfL Wolfsburg,82,Germany,https://www.transfermarkt.com/vfl-wolfsburg/startseite/verein/82/saison_id/2016,2016,€94.45m,€81.05m ,+€13.40m,19,20
RB Leipzig,23826,Germany,https://www.transfermarkt.com/rasenballsport-leipzig/startseite/verein/23826/saison_id/2016,2016,€100k,€95.95m ,€-95.85m ,13,12
Borussia Mönchengladbach,18,Germany,https://www.transfermarkt.com/borussia-monchengladbach/startseite/verein/18/saison_id/2016,2016,€45.10m,€41.25m ,+€3.85m,10,14
TSG 1899 Hoffenheim,533,Germany,https://www.transfermarkt.com/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2016,2016,€37.00m,€27.44m ,+€9.56m,24,24
1.FC Köln,3,Germany,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2016,2016,€19.00m,€8.35m ,+€10.65m,8,11
1.FSV Mainz 05,39,Germany,https://www.transfermarkt.com/1-fsv-mainz-05/startseite/verein/39/saison_id/2016,2016,€25.70m,€29.21m ,€-3.51m ,16,16
Hertha BSC,44,Germany,https://www.transfermarkt.com/hertha-bsc/startseite/verein/44/saison_id/2016,2016,€5.00m,€6.70m ,€-1.70m ,10,7
SV Werder Bremen,86,Germany,https://www.transfermarkt.com/sv-werder-bremen/startseite/verein/86/saison_id/2016,2016,€27.20m,€23.70m ,+€3.50m,20,18
SC Freiburg,60,Germany,https://www.transfermarkt.com/sc-freiburg/startseite/verein/60/saison_id/2016,2016,€5.15m,€16.78m ,€-11.63m ,19,15
Hamburger SV,41,Germany,https://www.transfermarkt.com/hamburger-sv/startseite/verein/41/saison_id/2016,2016,€8.75m,€43.95m ,€-35.20m ,17,18
Eintracht Frankfurt,24,Germany,https://www.transfermarkt.com/eintracht-frankfurt/startseite/verein/24/saison_id/2016,2016,€12.05m,€3.80m ,+€8.25m,16,16
FC Augsburg,167,Germany,https://www.transfermarkt.com/fc-augsburg/startseite/verein/167/saison_id/2016,2016,€15.05m,€23.70m ,€-8.65m ,18,13
FC Ingolstadt 04,4795,Germany,https://www.transfermarkt.com/fc-ingolstadt-04/startseite/verein/4795/saison_id/2016,2016,€4.55m,€7.95m ,€-3.40m ,10,10
SV Darmstadt 98,105,Germany,https://www.transfermarkt.com/sv-darmstadt-98/startseite/verein/105/saison_id/2016,2016,€5.20m,€4.10m ,+€1.10m,24,24
Bayern Munich,27,Germany,https://www.transfermarkt.com/fc-bayern-munchen/startseite/verein/27/saison_id/2017,2017,€32.25m,€116.50m ,€-84.25m ,11,14
Borussia Dortmund,16,Germany,https://www.transfermarkt.com/borussia-dortmund/startseite/verein/16/saison_id/2017,2017,€275.95m,€122.59m ,+€153.36m,15,15
RB Leipzig,23826,Germany,https://www.transfermarkt.com/rasenballsport-leipzig/startseite/verein/23826/saison_id/2017,2017,€24.54m,€63.50m ,€-38.96m ,13,15
Bayer 04 Leverkusen,15,Germany,https://www.transfermarkt.com/bayer-04-leverkusen/startseite/verein/15/saison_id/2017,2017,€91.10m,€51.00m ,+€40.10m,18,14
FC Schalke 04,33,Germany,https://www.transfermarkt.com/fc-schalke-04/startseite/verein/33/saison_id/2017,2017,€7.10m,€49.30m ,€-42.20m ,24,18
TSG 1899 Hoffenheim,533,Germany,https://www.transfermarkt.com/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2017,2017,€45.75m,€14.70m ,+€31.05m,16,20
Borussia Mönchengladbach,18,Germany,https://www.transfermarkt.com/borussia-monchengladbach/startseite/verein/18/saison_id/2017,2017,€31.08m,€37.25m ,€-6.17m ,13,9
VfL Wolfsburg,82,Germany,https://www.transfermarkt.com/vfl-wolfsburg/startseite/verein/82/saison_id/2017,2017,€36.00m,€72.75m ,€-36.75m ,21,20
VfB Stuttgart,79,Germany,https://www.transfermarkt.com/vfb-stuttgart/startseite/verein/79/saison_id/2017,2017,€7.60m,€30.90m ,€-23.30m ,16,16
Hertha BSC,44,Germany,https://www.transfermarkt.com/hertha-bsc/startseite/verein/44/saison_id/2017,2017,€18.00m,€14.00m ,+€4.00m,9,10
Eintracht Frankfurt,24,Germany,https://www.transfermarkt.com/eintracht-frankfurt/startseite/verein/24/saison_id/2017,2017,€4.92m,€19.20m ,€-14.29m ,13,17
SV Werder Bremen,86,Germany,https://www.transfermarkt.com/sv-werder-bremen/startseite/verein/86/saison_id/2017,2017,€8.90m,€18.60m ,€-9.70m ,18,16
SC Freiburg,60,Germany,https://www.transfermarkt.com/sc-freiburg/startseite/verein/60/saison_id/2017,2017,€27.80m,€19.65m ,+€8.15m,13,18
FC Augsburg,167,Germany,https://www.transfermarkt.com/fc-augsburg/startseite/verein/167/saison_id/2017,2017,€7.90m,€7.55m ,+€350k,18,13
1.FSV Mainz 05,39,Germany,https://www.transfermarkt.com/1-fsv-mainz-05/startseite/verein/39/saison_id/2017,2017,€24.85m,€16.55m ,+€8.30m,19,14
Hannover 96,42,Germany,https://www.transfermarkt.com/hannover-96/startseite/verein/42/saison_id/2017,2017,€250k,€19.00m ,€-18.75m ,14,14
1.FC Köln,3,Germany,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2017,2017,€7.45m,€40.00m ,€-32.55m ,5,10
Hamburger SV,41,Germany,https://www.transfermarkt.com/hamburger-sv/startseite/verein/41/saison_id/2017,2017,€5.55m,€19.00m ,€-13.45m ,14,15
Bayern Munich,27,Germany,https://www.transfermarkt.com/fc-bayern-munchen/startseite/verein/27/saison_id/2018,2018,€84.00m,€14.00m ,+€70.00m,9,6
Borussia Dortmund,16,Germany,https://www.transfermarkt.com/borussia-dortmund/startseite/verein/16/saison_id/2018,2018,€114.20m,€90.50m ,+€23.70m,17,14
RB Leipzig,23826,Germany,https://www.transfermarkt.com/rasenballsport-leipzig/startseite/verein/23826/saison_id/2018,2018,€72.75m,€65.63m ,+€7.12m,16,19
Bayer 04 Leverkusen,15,Germany,https://www.transfermarkt.com/bayer-04-leverkusen/startseite/verein/15/saison_id/2018,2018,€45.00m,€31.50m ,+€13.50m,8,10
TSG 1899 Hoffenheim,533,Germany,https://www.transfermarkt.com/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2018,2018,€6.12m,€32.00m ,€-25.88m ,18,16
Eintracht Frankfurt,24,Germany,https://www.transfermarkt.com/eintracht-frankfurt/startseite/verein/24/saison_id/2018,2018,€18.90m,€28.95m ,€-10.05m ,23,24
Borussia Mönchengladbach,18,Germany,https://www.transfermarkt.com/borussia-monchengladbach/startseite/verein/18/saison_id/2018,2018,€32.95m,€32.55m ,+€400k,10,11
VfL Wolfsburg,82,Germany,https://www.transfermarkt.com/vfl-wolfsburg/startseite/verein/82/saison_id/2018,2018,€800k,€36.00m ,€-35.20m ,13,14
FC Schalke 04,33,Germany,https://www.transfermarkt.com/fc-schalke-04/startseite/verein/33/saison_id/2018,2018,€46.15m,€62.20m ,€-16.05m ,15,18
Hertha BSC,44,Germany,https://www.transfermarkt.com/hertha-bsc/startseite/verein/44/saison_id/2018,2018,€16.90m,€16.00m ,+€900k,10,14
SV Werder Bremen,86,Germany,https://www.transfermarkt.com/sv-werder-bremen/startseite/verein/86/saison_id/2018,2018,€26.85m,€25.80m ,+€1.05m,20,21
1.FSV Mainz 05,39,Germany,https://www.transfermarkt.com/1-fsv-mainz-05/startseite/verein/39/saison_id/2018,2018,€56.10m,€30.00m ,+€26.10m,12,19
VfB Stuttgart,79,Germany,https://www.transfermarkt.com/vfb-stuttgart/startseite/verein/79/saison_id/2018,2018,€13.25m,€45.76m ,€-32.51m ,17,18
FC Augsburg,167,Germany,https://www.transfermarkt.com/fc-augsburg/startseite/verein/167/saison_id/2018,2018,€2.85m,€6.65m ,€-3.80m ,11,17
SC Freiburg,60,Germany,https://www.transfermarkt.com/sc-freiburg/startseite/verein/60/saison_id/2018,2018,€22.68m,€18.40m ,+€4.28m,21,16
