,player_id,name,birth_date,height,main_position,foot,agent
6478,632471,Cheikh Kane Sarr,2000-04-21,194.0,Goalkeeper,right,Minerva Athletes
6479,713632,Ángel Jiménez,2002-06-22,194.0,Goalkeeper,,Promoesport
6480,257376,Domingos Duarte,1995-03-10,192.0,Defender Centre Back,right,PCR Sports
6481,330684,Luis Abram,1996-02-27,181.0,Defender Centre Back,left,Wasserman
6482,631222,Raúl Torrente,2001-09-11,193.0,Defender Centre Back,left,Bahía Internacional
6483,95963,Germán Sánchez,1986-12-12,187.0,Defender Centre Back,right,JV SPORTS SL
6484,500191,Pepe Sánchez,2000-03-02,185.0,Defender Centre Back,right,33 Sport
6485,562058,Sergio Barcia,2000-12-31,186.0,Defender Centre Back,right,IGdreamsfootball
6486,468700,Neyder Lozano,1994-03-04,185.0,Defender Centre Back,left,CAA Stellar
6487,448844,Carlos Neva,1996-06-12,174.0,Defender Left Back,left,IS SPORTS AGENCY ...
6488,93935,Sergio Escudero,1989-09-02,176.0,Defender Left Back,left,Bahía Internacional
6489,713649,Miguel Ángel Brau,2001-12-27,183.0,Defender Left Back,left,MRH Football Agency
6490,120443,Santiago Arias,1992-01-13,177.0,Defender Right Back,right,
6491,58330,Víctor Díaz,1988-06-12,183.0,Defender Right Back,right,Promoesport
6492,223053,Quini,1989-09-24,178.0,Defender Right Back,right,YOU FIRST
6493,376588,Njegos Petrovic,1999-07-18,185.0,midfield Defensive Midfield,right,VPA Sports
6494,60542,Maxime Gonalons,1989-03-10,187.0,midfield Defensive Midfield,right,Frederic Guerra ...
6495,297784,Yan Eteki,1997-08-26,182.0,midfield Defensive Midfield,right,Promoesport
6496,281989,Luis Milla,1994-10-07,175.0,midfield Central Midfield,right,Promoesport
6497,282727,Monchu,1999-09-13,173.0,midfield Central Midfield,right,Wasserman
6498,59551,Ángel Montoro,1988-06-25,180.0,midfield Central Midfield,right,InterStarDeporte
6499,631221,Isma Ruiz,2001-02-14,180.0,midfield Central Midfield,right,Promoesport
6500,211251,Darwin Machís,1993-02-07,171.0,Attack Left Winger,right,YOU FIRST
6501,315289,Myrto Uzuni,1995-05-31,178.0,Attack Left Winger,right,BFM
6502,713644,Bryan Zaragoza,2001-09-09,164.0,Attack Left Winger,right,Manuel García ...
6503,262365,Antonio Puertas,1992-02-21,183.0,Attack Right Winger,right,Promoesport
6504,282722,Álex Collado,1999-04-22,177.0,Attack Right Winger,left,Goal Management
6505,487688,Alberto Soro,1999-03-09,173.0,Attack Right Winger,left,Media Base Sports
6506,67548,Rubén Rochina,1991-03-23,182.0,Attack Right Winger,left,Promoesport
6507,424784,Luis Suárez,1997-12-02,185.0,Attack Centre Forward,right,CAA Stellar
6508,611426,Matías Arezo,2002-11-21,177.0,Attack Centre Forward,right,Faro Sports
6509,57825,Jorge Molina,1982-04-22,188.0,Attack Centre Forward,right,Domingo Sevillano ...
6510,119235,Carlos Bacca,1986-09-08,181.0,Attack Centre Forward,right,INVSPORT (Sergio ...
6511,596884,Adrián Butzke,1999-03-30,193.0,Attack Centre Forward,right,RGFOOTBALL
6512,118997,Aitor Fernández,1991-05-03,182.0,Goalkeeper,right,Sports and ...
6513,397676,Dani Cárdenas,1997-03-28,186.0,Goalkeeper,right,Identity Sports
6514,299715,Koke Vegas,1995-09-27,188.0,Goalkeeper,right,Wasserman
6515,611202,Pablo Picón,2000-02-01,185.0,Goalkeeper,right,DV7 Management
6516,617059,Pablo Cuñat,2002-04-28,188.0,Goalkeeper,left,InterStarDeporte
6517,939445,Álex Primo,2004-07-10,187.0,Goalkeeper,right,Identity Sports
6518,257851,Rúben Vezo,1994-04-25,182.0,Defender Centre Back,right,Gestifute
6519,88590,Shkodran Mustafi,1992-04-17,184.0,Defender Centre Back,right,CAA Stellar
6520,387129,Rober Pier,1995-02-16,182.0,Defender Centre Back,right,Bahía Internacional
6521,54935,Martín Cáceres,1987-04-07,180.0,Defender Centre Back,right,no agent
6522,175323,Óscar Duarte,1989-06-03,186.0,Defender Centre Back,right,AC Talent
6523,158791,Sergio Postigo,1988-11-04,185.0,Defender Centre Back,right,MESAS SPORT
6524,627277,José Manuel,1999-02-25,,Defender Centre Back,,Toldra Consulting ...
6525,627276,Antonio Leal,1999-01-28,186.0,Defender Centre Back,right,
6526,856136,Carlos Giménez,2003-02-18,182.0,Defender Centre Back,right,PROTIO SPORT
6527,373916,Marcelo Saracchi,1998-04-23,172.0,Defender Left Back,left,Marcelo Tejera
6528,193784,Carlos Clerc,1992-02-21,181.0,Defender Left Back,left,Rafael Anguita
6529,282700,Enric Franquesa,1997-02-26,174.0,Defender Left Back,left,AC Talent
6530,228917,Jorge Miramón,1989-06-02,175.0,Defender Right Back,right,GLOBAL ASES
6531,349856,Son,1994-03-30,178.0,Defender Right Back,right,MESAS SPORT
