,player_id,season,Age,Competition,Club,club_id,position_group,New_season,Squad,Appearances,club_clean_sheet,player_clean_sheet,Goals conceded,PPG,Goals,Own goals,Assists,Penalty goals,Yellow cards,Second yellow cards,Red cards,Substitutions on,Substitutions off,Minutes played,Minutes per goal,market_value
1896,462832,2021,20,Premier League,Brentford FC,1148,midfield,False,18,4,9,0,0,1.75,0,0,0,0,0,0,0,4,0,36,0,1000000.0
1900,49755,2018,29,Premier League,Brighton & Hove Albion,1237,midfield,False,31,30,6,0,0,0.83,1,0,1,0,6,0,1,1,2,2487,2487,6000000.0
1905,410425,2019,22,Premier League,Brighton & Hove Albion,1237,midfield,False,29,22,9,0,0,1.05,1,0,0,0,4,0,0,7,11,1262,1262,9500000.0
1907,476237,2019,20,Premier League,Brighton & Hove Albion,1237,midfield,False,22,19,9,0,0,1.11,0,0,0,0,1,0,0,7,2,1183,0,2300000.0
1909,147485,2019,24,Bundesliga,1.FC Köln,3,midfield,False,15,9,6,0,0,1.11,1,0,1,0,0,0,0,2,5,625,625,3200000.0
1911,205544,2019,23,Bundesliga,1.FC Köln,3,midfield,False,7,0,6,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,800000.0
1912,280575,2019,21,Bundesliga,1.FC Köln,3,midfield,True,16,13,6,0,0,1.0,0,0,4,0,3,0,0,6,4,619,0,4000000.0
1917,290587,2020,25,Bundesliga,1.FC Köln,3,midfield,False,33,32,6,0,0,0.91,5,0,3,0,5,0,0,0,6,2791,558,10000000.0
1921,232418,2021,26,Bundesliga,1.FC Köln,3,midfield,False,32,31,4,0,0,1.48,2,0,0,0,5,0,0,11,16,1625,813,4000000.0
1922,244940,2021,23,Bundesliga,1.FC Köln,3,midfield,False,33,31,4,0,0,1.55,2,0,1,0,5,0,0,5,3,2309,1155,13000000.0
1923,287188,2021,23,Bundesliga,1.FC Köln,3,midfield,False,30,30,4,0,0,1.5,3,0,1,0,4,0,0,8,14,1975,658,7500000.0
1925,428189,2021,21,Bundesliga,1.FC Köln,3,midfield,False,19,5,4,0,0,1.6,0,0,1,0,0,0,0,5,0,26,0,750000.0
1926,490581,2021,20,Bundesliga,1.FC Köln,3,midfield,False,9,3,4,0,0,2.33,0,0,0,0,0,0,0,3,0,14,0,350000.0
1928,117674,2018,24,Bundesliga,VfL Wolfsburg,82,midfield,False,33,33,10,0,0,1.58,2,0,7,0,7,0,0,0,7,2879,1440,15000000.0
1930,280575,2018,20,Bundesliga,VfL Wolfsburg,82,midfield,False,32,24,10,0,0,1.67,2,0,2,0,4,0,0,11,11,1145,573,8000000.0
1932,117674,2019,25,Bundesliga,VfL Wolfsburg,82,midfield,False,33,33,8,0,0,1.39,4,0,9,0,8,0,0,1,6,2826,707,14500000.0
