id,Season,income,expend,overall_balance,ARRIVALS,DEPARTURES,League name,Average age of players,Total market value
4171,2017,3980000.0,23480000.0,-19500000.0,34,36,Serie B,26.7,23240000.0
276,2017,8050000.000000001,3050000.0,5000000.0,32,36,Serie A,26.4,84850000.0
862,2017,17670000.0,2950000.0,14720000.0,53,57,,,
4083,2017,0.0,3000000.0,-3000000.0,32,34,Serie C - Girone C,27.0,8060000.000000001
506,2018,112540000.0,263200000.0,-150660000.0,32,41,Serie A,27.0,420700000.0
6195,2018,100800000.0,71000000.0,29800000.0,29,28,Serie A,26.2,629000000.0
46,2018,91170000.0,97600000.0,-6430000.0,50,51,Serie A,28.5,534450000.00000006
5,2018,88100000.0,194640000.0,-106540000.0,28,26,Serie A,27.0,547250000.0
12,2018,150470000.0,166350000.0,-15880000.0,43,45,Serie A,26.2,317150000.0
800,2018,25060000.0,60800000.0,-35740000.0,71,76,Serie A,26.6,329500000.0
430,2018,43390000.0,60770000.0,-17380000.0,40,41,Serie A,26.5,236300000.0
398,2018,38600000.0,51280000.0,-12680000.0,29,27,Serie A,27.2,274150000.0
6574,2018,50380000.0,53970000.0,-3590000.0,39,41,Serie A,25.9,171400000.0
416,2018,17200000.0,53150000.0,-35950000.0,44,47,Serie A,24.6,169530000.0
1038,2018,90120000.0,56450000.0,33670000.0,42,45,Serie A,26.6,71450000.0
410,2018,13530000.0,52900000.0,-39370000.0,40,44,Serie A,25.4,143050000.0
252,2018,84360000.0,59070000.0,25290000.0,65,67,Serie B,26.4,52550000.0
1390,2018,7850000.0,22500000.0,-14650000.0,29,31,Serie B,25.9,32799999.999999996
1025,2018,44990000.0,31220000.0,13780000.0,32,38,Serie A,25.7,136100000.0
749,2018,22900000.0,17300000.0,5600000.0,38,42,,,
2722,2018,1850000.0,21900000.0,-20050000.0,38,38,Serie B,26.0,16280000.000000002
130,2018,596000.0,20400000.0,-19810000.0,43,49,Serie B,24.9,45950000.0
862,2018,17620000.0,9470000.0,8150000.0,49,52,,,
8970,2018,800000.0,9560000.0,-8760000.0,24,25,Serie B,25.4,33500000.0
